row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
R1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
R2,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
R3,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1
R4,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1
R5,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0
R6,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1
R7,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0
R8,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
R9,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
R10,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
R11,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1
R12,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
R13,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0
R14,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1
R15,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0
R16,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1
